,Unnamed: 0,full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,age,players_photo,team_photo
170,170,Avery Bradley,76,#11,Los Angeles Lakers,G,1990-11-26,6-3 / 1.91,195 lbs. / 88.5 kg.,$6767000,USA,2010,1,19,Texas,34,https://cdn.nba.com/headshots/nba/latest/1040x760/202340.png,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg
171,171,Miles Bridges,76,#0,Charlotte Hornets,F,1998-03-21,6-6 / 1.98,225 lbs. / 102.1 kg.,$3755400,USA,2018,1,12,Michigan State,27,https://cdn.nba.com/headshots/nba/latest/1040x760/1628970.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
172,172,Jalen Brunson,76,#13,Dallas Mavericks,G,1996-08-31,6-1 / 1.85,190 lbs. / 86.2 kg.,$1416852,USA,2018,2,33,Villanova,28,https://cdn.nba.com/headshots/nba/latest/1040x760/1628973.png,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg
173,173,Kentavious Caldwell-Pope,76,#1,Los Angeles Lakers,G,1993-02-18,6-5 / 1.96,204 lbs. / 92.5 kg.,$8089282,USA,2013,1,8,Georgia,32,https://cdn.nba.com/headshots/nba/latest/1040x760/203484.png,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg
174,174,Jae Crowder,76,#99,Miami Heat,F,1990-07-06,6-6 / 1.98,235 lbs. / 106.6 kg.,$7815533,USA,2012,2,34,Marquette,34,https://cdn.nba.com/headshots/nba/latest/1040x760/203109.png,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg
175,175,Dewayne Dedmon,76,#0,Atlanta Hawks,C,1989-08-12,7-0 / 2.13,239 lbs. / 108.4 kg.,$13333334,USA,2013,Undrafted,Undrafted,USC,35,https://cdn.nba.com/headshots/nba/latest/1040x760/203473.png,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg
176,176,Gorgui Dieng,76,#0,Memphis Grizzlies,C,1990-01-18,6-10 / 2.08,230 lbs. / 104.3 kg.,$16229213,Senegal,2013,1,21,Louisville,35,https://cdn.nba.com/headshots/nba/latest/1040x760/203476.png,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg
177,177,Gerald Green,76,#0,,F-G,1986-01-26,6-6 / 1.98,192 lbs. / 87.1 kg.,$2564753,USA,2005,1,18,,39,https://cdn.nba.com/headshots/nba/latest/1040x760/101123.png,
178,178,Jeff Green,76,#34,Houston Rockets,F,1986-08-28,6-8 / 2.03,235 lbs. / 106.6 kg.,$3405180,USA,2007,1,5,Georgetown,38,https://cdn.nba.com/headshots/nba/latest/1040x760/201145.png,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg
179,179,Rodney Hood,76,#5,Portland Trail Blazers,F,1992-10-20,6-8 / 2.03,208 lbs. / 94.3 kg.,$5718000,USA,2014,1,23,Duke,32,https://cdn.nba.com/headshots/nba/latest/1040x760/203918.png,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg
180,180,Kevin Huerter,76,#3,Atlanta Hawks,G,1998-08-27,6-7 / 2.01,190 lbs. / 86.2 kg.,$2636280,USA,2018,1,19,Maryland,26,https://cdn.nba.com/headshots/nba/latest/1040x760/1628989.png,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg
181,181,Ersan Ilyasova,76,#7,Milwaukee Bucks,F,1987-05-15,6-9 / 2.06,235 lbs. / 106.6 kg.,$7000000,Turkey,2005,2,36,,37,https://cdn.nba.com/headshots/nba/latest/1040x760/101141.png,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
182,182,Jonathan Isaac,76,#1,Orlando Magic,F,1997-10-03,6-11 / 2.11,205 lbs. / 93 kg.,$5806440,USA,2017,1,6,Florida State,27,https://cdn.nba.com/headshots/nba/latest/1040x760/1628371.png,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg
183,183,Josh Jackson,76,#20,Memphis Grizzlies,F,1997-02-10,6-8 / 2.03,203 lbs. / 92.1 kg.,$7059480,USA,2017,1,4,Kansas,28,https://cdn.nba.com/headshots/nba/latest/1040x760/1628367.png,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg
184,184,Frank Kaminsky,76,#8,Phoenix Suns,F-C,1993-04-04,7-0 / 2.13,231 lbs. / 104.8 kg.,$4767000,USA,2015,1,9,Wisconsin,31,https://cdn.nba.com/headshots/nba/latest/1040x760/1626163.png,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg
185,185,Michael Kidd-Gilchrist,76,#0,Dallas Mavericks,F,1993-09-26,6-6 / 1.98,232 lbs. / 105.2 kg.,$12784359,USA,2012,1,2,Kentucky,31,https://cdn.nba.com/headshots/nba/latest/1040x760/203077.png,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg
186,186,Kevin Knox,76,#20,New York Knicks,F,1999-08-11,6-7 / 2.01,215 lbs. / 97.5 kg.,$4380120,USA,2018,1,9,Kentucky,25,https://cdn.nba.com/headshots/nba/latest/1040x760/1628995.png,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg
187,187,Meyers Leonard,76,#0,Miami Heat,C,1992-02-27,7-0 / 2.13,245 lbs. / 111.1 kg.,$11286515,USA,2012,1,11,Illinois ,33,https://cdn.nba.com/headshots/nba/latest/1040x760/203086.png,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg
188,188,Wesley Matthews,76,#9,Milwaukee Bucks,G,1986-10-14,6-4 / 1.93,220 lbs. / 99.8 kg.,$2564753,USA,2009,Undrafted,Undrafted,Marquette,38,https://cdn.nba.com/headshots/nba/latest/1040x760/202083.png,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
189,189,Emmanuel Mudiay,76,#8,Utah Jazz,G,1996-03-05,6-3 / 1.91,190 lbs. / 86.2 kg.,$1737145,Democratic Republic of the Congo,2015,1,7,,29,https://cdn.nba.com/headshots/nba/latest/1040x760/1626144.png,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg
190,190,Jahlil Okafor,76,#8,New Orleans Pelicans,C,1995-12-15,6-10 / 2.08,270 lbs. / 122.5 kg.,$1702486,USA,2015,1,3,Duke,29,https://cdn.nba.com/headshots/nba/latest/1040x760/1626143.png,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg
191,191,Elfrid Payton,76,#6,New York Knicks,G,1994-02-22,6-3 / 1.91,185 lbs. / 83.9 kg.,$8000000,USA,2014,1,10,Louisiana,31,https://cdn.nba.com/headshots/nba/latest/1040x760/203901.png,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg
192,192,Michael Porter,76,#1,Denver Nuggets,F,1998-06-29,6-10 / 2.08,215 lbs. / 97.5 kg.,$3389400,USA,2018,1,14,Missouri ,26,https://cdn.nba.com/headshots/nba/latest/1040x760/1629008.png,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg
